공원명,리뷰,사진
용마폭포공원,"고양이들이 많아요. 괴롭히지 마세요.
이동 도서관이 있습니다. 책이 많지 않지만 조용히 읽기 좋아요. 어린이 도서가 많았어요.
정해진 시간에 가시면 폭포도 볼 수 있습니다.…","https://lh3.googleusercontent.com/geougc-cs/AMG9lER6eKaAhQcq1yEdbeVfuPclTx3O8aS66dfnJ9HpamWwePubMatY3ARMiguNVQsMy8hFUtJn51y0QTCUbyIfIJhtDiAhCyvUY8flS5mJeKUpbhCc6_Yw8CQnZhtQGeIggDRKEoHY8g=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESY-hyJkIupeamojd9DxqjEdMW47auZa8dLqupQueIxcAVKztPp5vl-0TQqra9CKRXWFJW-bRBlfGdfPgd3z-B3Wto2meSmGAeCM1hG7BFZZvVIL00JBndVWRTDyKUSpQ-QJcBl=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lETHuicEGTVxLkMdXbm13gRWSDZUTA2wosWmJ9Ce4koiF-SZ1pW1pY1d3ESd2Z1NL9UYOc5JfT7BcGWSqIZEVa3MRB8EgiYKh6JpqRYtksqlodiOgh9wPp_6qpfpQcg_wV4c-K4mMQ=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lER2Zvr0iqvprN-omjZXn7iPseX3FSvXRW8Krgzlxj5VoU6ayce3PCu4g85PNo-GwisJvTAlEBGa80wYWDxUi_Y4unx-V8KmeGhtOriG5QUxkcvnb3t5T_H5YIXqpQvwQKT6lhCa=w300-h225-p"
용마폭포공원,"서울 전체를 조망하기 너무 좋습니다.
등산로도 평이합니다.
It is the best place to see the entire view of Seoul. It gives you such a great view on top. It takes only 30-40min to the top but view is amazing.","https://lh3.googleusercontent.com/geougc-cs/AMG9lETxt8-pn5ukAUqeFl-11x8YdSlc6E6dYVYMrcChTX186o1SxKyKxIo_WpQrBsXjgbhSZ8EffrA5ie9J4d9sqrxYkUySA3aBzhAleGazd3xrcVOO4lPhCnx1Jd0_AypotvnOtKoo=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lET2Zm8ete3uYhS3Pfbyv9ThVReQWcdHYa4WeAzeTIeS0NBZVD8NX4GqUpzBS7EmVjEyG5iPTnzIAQt4sUTlmAClbSnaVV1z2XKrHfvgXM341z9HDBu0d6cG3e-rY1GxnABM3FNx=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQaye7i0dKRykbD2W0bhQ7etUhiIHbsXh9FkB4ajbRZ6FdKa4ye4bGb1_hXZacUwsEhbinaEdKnKIfRGqvxwijcgSDQ7a4lVcGNW3XZW4RSVvVoE5diZ52kIl_Om17HXGHympvl=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESGgPTdixaE_ES8pjYzEl4CuYV5AHBj1CCUqIjTI2ZnKm_5_zAoknINqvwHc_Bdc_odU9_2OQndHO-cT2GWGhfTUM_33iXqmI-cAwuLMiLb6Sr97dUibE-f-CwvNmkhJHoP4ONR=w300-h225-p"
용마폭포공원,"용마산역 2번출구에서 도보 10분정도의 거리에 있으며, 폭포공원의 우측편 위쪽으로 올라가니 세개의 폭포가 힘차게 가동되는데 정말 멋져요. 더운 날씨에 한결 시원해 보이구요.","https://lh3.googleusercontent.com/geougc-cs/AMG9lEQ8hIR5gYPK2fL84ueVszmW0w5aI1M5uHkpvGGIg9UfJCVimbmDghFD6KC8zj_wageGQNolje6XL9TG7MZnwBzdIsXHuoZGUxjQyJcdS_CXYYurYiKvQv3OcY4MnIYsahfUK5rT=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESBS8zswj_ozTDOfg8-NgnRi30-nttUnx0U74NKlTk8Zl6aUqMgzgB84Zk2noaVweUZlfL_7mBxUSTulWnfUEUpUXgOBqux-2HcilB0bTQg_MxskuwXNWQjS0OU5lI28Dgb7bU2=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEStxP_Ztg-NGZPhNf0wUk7vOpI9eRrCfMqTxiN-3diNyWqIMTBvgj38bP-b3wC1YtsxGK3s9aj9vtjB-1G04hEAhTWJaSHZ1MF8FLGmX_2b9DktT_IbBRUVlGALmGZ4pHLbfPc=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESnXhPJeawcnCYtCeonsPe_JBmBW5cHzIkxSyKS0d3855s9RyxeUEjr_56Krt6TLdPwk6DvyPRYm8bfSffcK-MoVl9y4OqaXYvDnbdx7jPK_Zm7Q9gRYy0VftLBk9OQk6J6-uYY=w300-h225-p"
용마폭포공원,운동 산책 등 가족들과 편안하게 거닐기 좋아요,https://lh3.googleusercontent.com/geougc-cs/AMG9lET-oKOCMIYKGLs8MqpxS0EKVLjVymlgwM3BD3leqllyuIIpuR7F5QOjanyDBVfv0eIcHaQFlHweNg5l0mS4CZS1-HeDrH-z_0h4gqBsnu1fo3x1p7wu8a_rTTvJHTEPknT_uAfv1u-xPsey=w600-h450-p
용마폭포공원,"서울에 살면서 처음으로 가본 용마공원
공용주차장도 있어서 주차하기도 편하고.
인공폭포지만 안구정화하기엔 좋은 장소네요.…","https://lh3.googleusercontent.com/geougc-cs/AMG9lERkVHOlipixRX1K22pIf7UdIpOmYSTKcyH7c6IqeBf-sKbJfslwqT0Waw6ZLZDMzFSmG75zeXosIZ1byzQDVDX1jugRGi9snE6nnOUwyITGvJcaAvlgDkUt4LGFUJ-eZGmwadZ-nQ=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQg1c6qzXrPR6xqBJBrTriadjyowJTUrzl217mX607U-0mNnh_OykHA_BNsNOYOeNVpK9FLc8LZ7AvAXE778D6pMIB-WpGIs0_5ZXwcx6j60vKFC26AiNw1MLk688oMAc4Cq8Ys=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lET28Cys9WelG42NxjleoZyofrjujx0fCzvxv6rE4lpl6PVdYbnbg8Lnej9J6qT4cjoP9jMn1OmWOeg7W1i0wWJB-S1kuyzB6LVG9Z83iSixRXyG0Z78umqUrOxBZS_Uqdbudz7pIw=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lER5oAb9z4QBH7i2VMD-nXraR1vih4rp18BftbrSxndEkoP5LpTPcSRbIjHMWxBseGZ4bN4hbOfK5p2G8vnk-sDEBc7-A1r_AiLm7T-1ZTJWxCLcBCd49iGNq1yzut4saBCIxaI=w300-h225-p"
용마폭포공원,"철쭉이 피고 걷기 좋은장소 폭포는 시간별로 운영하니 체크하고 방문하세요

평일10시부터16시…","https://lh3.googleusercontent.com/geougc-cs/AMG9lETQqzpELuH3lMLVObRJjK6Ak9SVDvWkkyh43haTMW8nVrytZV7uWQhRJ1nqC0zP2G_8gfzqM_25D9wKrT5GyOCjocyM1G3LadHq0ttrFCe63zU3PhErVQXjElUaoG5UAbFAtsmU=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESv67ajwFJ0wzTYwW_gOp9C1HtvyZq8ARQOHpNdtk9CmsyZO_Uv0_S6HBTSz_Q_rE0VLb1Bx9gw08BXXxmLMP0snKXNDbdU-GX6EAmU779N0D3irlRsMTSYb89FFV4dfoBaUb5r=w300-h450-p"
용마폭포공원,"도심에 이런 공원이 있는것 자체만으로도 좋음
구민을 위한 생수냉장고도 참 좋음
모래 놀이터가 귀한요즘 아이들 흙만지기에도 좋음
다만 그늘막텐트에 캠핑모드는 단속했음 좋겠음","https://lh3.googleusercontent.com/geougc-cs/AMG9lEQFDMfzMc3ykAns8MK9x5FlrOsj-Cu7raDXDZ1Q7mSsTG_XOQSUlT56sSXOUTUB-iGxZDcFjlT6Wz86fIXvYuRoFcDDN8XbL79VcFI2MFWJlxsLRjaK0T6ViKFA5aABzMIuKZ1fRA=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQjvSdbp6KXFRo266yFU5mre3TRIZfWtPh3sh2EQ0ttCSkGB8nf48pkw9FsrHwPda5xb27NJmEGaTErVjKFjybCFB3eQhlK2ky0RbsuMxtkIRcimwIwI_kIklUXk4LasP6I8Qp2=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESDlUO6zvqvaba2GNRe5JZVLgh-_5S50HdyvcUwgqKJOh8I5p_y4Sw4vAm3rW5F9FhqUdmKIe_qoH530KzIUMG5i6l5AVO_oiT77UGBLcTjg5ZCwmvp20wvLCxfaa9szkYswMll1A=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESirSFJXwytQu2POE2k4B7trSltfPBR_czBidKZsFiYAFke40qgDP_iiWhnaaxrv4PVoQQh3xnXpVlKf1m5rpDPgxDMgNxCXBUeLcEwryB3IZ-eEuJI8bfX0PjgBjy0YXMJ1wq0=w300-h225-p"
용마폭포공원,용마폭포공원이 깨끗하고 숲속으로 산책과 운동시설이 갖춰져 있고 시간따라 인공폭포를 바라보며 시원함과 평온함을 느끼게 되어 힐링이 됩니다.,"https://lh3.googleusercontent.com/geougc-cs/AMG9lEQqIUTWqLmHfN_FpW1wI2bCgdkL6vdjIpfwQXg4sJWnOWYM06xD6XSfY1CXrc7Sm9Zakd_mB4qyOj5l8l-MgtCC6yj9iCa7dUqu4NGV_9t21r71veSugWzFrEhH4FeXjnmL9GFu=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lERqq8bBkMz54fvqFKact81j92jtNjh6RXzHSOlSa46Wacwm42D_Vl0V_3LRsp_jAqY1SdUp93rrTBtRf6z8QZAYijPy5q6aYLtKrViSYJsZI0Gy6CQTRnv8EGX3oNKVoglduCwG=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lESKNszVO7aj0w__HXLrRsaycLNNQ3X2l-abK6a6HKrLjbfxwVRMWMiGBVLanJz2KzXHe7cFFuhaUx259jCOoITCJ08mCQcrAMFPYVBy72IVP8CqTmj-xny0tvOp5SjEJ5nj4PA_=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lERhDS9rYKDah9a6xFF8s_XxFNCxwm9kLcMgq5SyDvvFL1w_jKyuzmloe8ERY-sVmwVOVS1NToDr4SDGm5V6_mMd6tGRP5mlh_FVt4gs8p-i9KndyaTndk9gSdFRtnCGPZ6Uf_PUWQ=w300-h225-p"
용마폭포공원,비오는 중에도 스포츠클라이밍경기장 실외 암벽과 실내볼더링할 수 있어 좋았어요. 샤워실 이용료(500원)도 저렴해서 간단 샤워하고 환복하고나니 몸도 개운했구요. 최고!,"https://lh3.googleusercontent.com/geougc-cs/AMG9lET31WlR91kIISBoHCwEzw5ToH72OjNT5GXtUotkoyv82B9GgqGFY9JoXASmlfMHpt2jBcx4QbImkQWPuseZ3LGNMmWDQPZIsRfco6XU9iHHxcCVFgwkV2GmktoxKtopidao0sKL=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lERWK2adiB39V3E0MD1olKL9C4uynENgl2nQvkKqfoNPVlq3CnaAMlaeFNVQfYHa2P6652QBJClmG_aMAj_qMPKhsG4GhABIklFgp6K30U1mK-1AaM14ha4MzzimlB1DHOX3Al0R6Q=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lETQQ6W0Sx0I-ldX_i_-WjLNbW3XMgBFmAiLSRFkzZv3iBXCXiubNLODyaik8p8rOy5F3fLdeYjNjyLy4AUxsTYqzW4WMV65Q23MmRrbv1u_q8z8tOJILe9FXp7WgiIQmsMMAcmO=w300-h225-p"
용마폭포공원,"산이 높지않아서  왕복도 두시간밖에 안 걸려요.
두갈래가 있는데 한 곳은 돌밟고 경사가 높은곳이고 한 곳은 계단이 많고 완만한곳이에요.
잘보고가세요. 공원에클라이밍 하는사람도 많아요! 4계절 내내 가도좋은곳 애기들데리고나온 부모들도 많고  개끌고오는사람들도많네요.산책하기좋은곳","https://lh3.googleusercontent.com/geougc-cs/AMG9lET1REqebr-Mkktxr5v8K4L0krz0Miw3rFI7tzJ5-iY9D8z5wyG9ZUY8leUY5GsldSz3SE-6oS3VEHl7e6P939YpPHl-42134KzrMmx-GWOdo93aTqBl_G6iYbfiCTj0Tcs2DiJsWw=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQ9pcUJ3ZyqbNEYfLy4Owzj_nuu5M4VouF425h45PKIJciLvdz9XIrs5jFAwiYQpGrF5kPmTskLZD0Rr1WpILveBc7TToWVuD03RX7dnjT_XhDwd-_NxJr9-8n9SNpksNb8n3lj=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lETMbxNdpuFUMStpqtSkCgijE_b5DCD7Q_EKZOKB9KOdHuibV9KdYD--ixIJ3nSqiaBqSp0iy0Czoq1Mqby_WZZwtzCzMuA__9wqCBX2KRjmQLLlWa7NG8iks3X5tSguXcGvyBE4pg=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AMG9lEQ0Xh4E_JlzpkvM59By-Hi0oKejd9prBiuaePgPbzP4zWxPEdFX80CDZKXlLqFaBMY2EnYcq471b-fbmhkzrFfFTukOBpYhoshPLz1pJkEsNnxcj4z2RnezycM6g91zFtVp6cWo=w300-h225-p"
