review_id,star_rating,contents,photo_count,photos,status,registered_at,updated_at,meta,park_name,place_id
9872719,5,공원이 깔끔하고 벚꽃보기 좋아요~~~,1,"[{'url': 'http://t1.daumcdn.net/local/kakaomapPhoto/review/1bc9bc9f141ca5f629e71fd27242545df5aeabfb?original', 'photo_id': 4374821, 'media_type': 'PHOTO', 'status': 'S', 'ui_type': 'PROFILE', 'review_id': 9872719, 'updated_at': '2024-04-07 00:27:11', 'meta': {'owner': {'map_user_id': '1635513674', 'nickname': '바나나', 'image_url': 'http://t1.daumcdn.net/local/kakaomapPhoto/profile/f9d6318ad8c6446b6ec9be7c0325855aca65d905?original', 'timeline_level': {'badge': '03', 'now_level': 55, 'show_other': True}, 'review_count': 459, 'follower_count': 67, 'profile_links': [], 'average_score': 4.0, 'profile_status': 'S'}, 'is_liked_by_me': False, 'view_count': 56, 'like_count': 0, 'near': False, 'place': {'confirm_id': '1439582466', 'place_name': '능말공원'}}}]",S,2024-04-07 00:27:11,2024-04-07 00:27:11,"{'owner': {'map_user_id': '1635513674', 'nickname': '바나나', 'profile_image_url': 'http://t1.daumcdn.net/local/kakaomapPhoto/profile/f9d6318ad8c6446b6ec9be7c0325855aca65d905?original', 'timeline_level': {'badge': '03', 'now_level': 55}, 'review_count': 459, 'follower_count': 67, 'average_score': 4.0, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '1439582466', 'place_name': '능말공원'}}",능말공원,1439582466
3758596,5,,0,,S,2021-06-09 00:20:25,2021-06-09 00:20:25,"{'owner': {'map_user_id': '378721893', 'nickname': '포레포레', 'profile_image_url': 'http://t1.daumcdn.net/local/kakaomapPhoto/profile/ab3bde9571ebdfcd912135f5319c2f9fc6430a43?original', 'timeline_level': {'badge': '01', 'now_level': 3}, 'review_count': 17, 'follower_count': 0, 'average_score': 4.7, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '1439582466', 'place_name': '능말공원'}}",능말공원,1439582466
3799465,5,,0,,S,2021-06-16 15:07:17,2021-06-16 15:07:17,"{'owner': {'map_user_id': '378721893', 'nickname': '포레포레', 'profile_image_url': 'http://t1.daumcdn.net/local/kakaomapPhoto/profile/ab3bde9571ebdfcd912135f5319c2f9fc6430a43?original', 'timeline_level': {'badge': '01', 'now_level': 3}, 'review_count': 17, 'follower_count': 0, 'average_score': 4.7, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '1782966923', 'place_name': '배말공원'}}",배말공원,1782966923
3799480,5,,0,,S,2021-06-16 15:08:56,2021-06-16 15:08:56,"{'owner': {'map_user_id': '378721893', 'nickname': '포레포레', 'profile_image_url': 'http://t1.daumcdn.net/local/kakaomapPhoto/profile/ab3bde9571ebdfcd912135f5319c2f9fc6430a43?original', 'timeline_level': {'badge': '01', 'now_level': 3}, 'review_count': 17, 'follower_count': 0, 'average_score': 4.7, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '232210838', 'place_name': '청남공원'}}",청남공원,232210838
13648134,5,"수십 년 전부터 아이들이 뛰어놀던 곳, 가끔은 나무 놀이터 시절이 그립습니다.",0,,S,2025-09-06 05:33:00,2025-09-06 05:33:00,"{'owner': {'map_user_id': '785907541', 'nickname': '\xad', 'profile_image_url': 'http://t1.daumcdn.net/local/kakaomapPhoto/profile/2cc82a66494448f16e3fb9456eca430026a6591e?original', 'timeline_level': {'badge': '02', 'now_level': 21}, 'review_count': 42, 'follower_count': 2, 'average_score': 4.6, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '26360788', 'place_name': '샛별어린이공원'}}",샛별어린이공원,26360788
13609356,1,놀이터가 너무 위험하고 안좋아요!,0,,S,2025-08-31 18:39:58,2025-08-31 18:39:58,"{'owner': {'map_user_id': '2143213998', 'nickname': '강아지', 'profile_image_url': 'https://chat.kakaocdn.net/profile_resource/22a158ce1e1e48b5a60767a2a44c5ddf260a30e1c73848afaf48fe2f24cc95e9/f.jpg?type=thumb&opt=U640x640', 'timeline_level': {'badge': '01', 'now_level': 6}, 'review_count': 4, 'follower_count': 1, 'average_score': 3.0, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '26360788', 'place_name': '샛별어린이공원'}}",샛별어린이공원,26360788
10450306,5,햇님 어린이공원 넝말 좋라요,0,,S,2024-06-29 17:17:09,2024-06-29 17:17:09,"{'owner': {'map_user_id': '2796966513', 'nickname': '박준호', 'profile_image_url': 'https://chat.kakaocdn.net/profile_resource/380faa228bd34d3c884257f393a6a0b972d2653c50b34f8a9b1a0d93dac20bd6/f.jpg?type=thumb&opt=U640x640', 'timeline_level': {'badge': '01', 'now_level': 5}, 'review_count': 3, 'follower_count': 0, 'average_score': 5.0, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '18629796', 'place_name': '햇님어린이공원'}}",햇님어린이공원,18629796
7280045,5,,0,,S,2023-04-02 19:01:22,2023-04-02 19:01:22,"{'owner': {'map_user_id': '745104043', 'nickname': '리본드', 'profile_image_url': 'http://t1.daumcdn.net/local/kakaomapPhoto/profile/b1dd55ab159f8f4ca31ed7bf7e5ffeecd3f04b1f?original', 'timeline_level': {'badge': '05', 'now_level': 87}, 'review_count': 2643, 'follower_count': 291, 'average_score': 4.4, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '18629796', 'place_name': '햇님어린이공원'}}",햇님어린이공원,18629796
6185764,5,,0,,S,2022-09-06 16:44:50,2022-09-06 16:44:50,"{'owner': {'map_user_id': '1656734587', 'nickname': 'cbbd', 'profile_image_url': 'https://p.kakaocdn.net/th/talkp/wlLifO9gwj/KPDHeNE8YTLJDuEaEIYNik/ocm0q7_640x640_s.jpg', 'timeline_level': {'badge': '02', 'now_level': 21}, 'review_count': 307, 'follower_count': 14, 'average_score': 3.9, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '18629796', 'place_name': '햇님어린이공원'}}",햇님어린이공원,18629796
3263611,5,,0,,S,2021-03-18 18:43:57,2021-03-18 18:43:57,"{'owner': {'map_user_id': '900412035', 'nickname': '이예림', 'profile_image_url': 'http://th-p.talk.kakao.co.kr/th/talkp/wkT7msjz3L/w2Py8F4wKj5osKUSNuqtr1/0pf18k.jpg', 'timeline_level': {'badge': '02', 'now_level': 16}, 'review_count': 14, 'follower_count': 0, 'average_score': 5.0, 'profile_status': 'S', 'is_following': False}, 'is_liked_by_me': False, 'is_owner_me': False, 'like_count': 0, 'like_user_profile_image_list': [], 'is_place_owner_pick': False, 'place': {'confirm_id': '18629796', 'place_name': '햇님어린이공원'}}",햇님어린이공원,18629796
